№,F1
62.13,1.0
53.03,1.0
55.16,1.0
50.01,1.0
89.53,0.99
06.75,0.98
38.35,0.96
39.01,0.96
45.09,0.96
89.29,0.95
89.17,0.94
45.51,0.94
61.41,0.94
76.35,0.94
82.17,0.93
34.33,0.92
41.27,0.92
81.92,0.91
44.37,0.91
41.19,0.91
38.59,0.91
45.53,0.91
90.01,0.91
73.43,0.9
89.23,0.9
55.15,0.9
73.37,0.9
44.35,0.9
29.35,0.89
36.16,0.89
44.33,0.89
44.39,0.88
45.41,0.88
73.01,0.88
73.29,0.88
41.23,0.87
68.47,0.87
34.23,0.86
29.33,0.86
41.21,0.86
73.34,0.86
45.29,0.85
34.25,0.85
38.53,0.85
06.51,0.85
55.57,0.85
55.53,0.85
61.65,0.85
73.39,0.85
29.15,0.85
55.45,0.85
65.33,0.85
53.39,0.84
34.47,0.84
61.37,0.84
34.35,0.84
60.29,0.84
37.31,0.84
47.45,0.83
76.33,0.83
41.03,0.83
38.57,0.83
81.79,0.83
55.30,0.83
37.27,0.83
55.41,0.83
61.35,0.82
19.51,0.82
68.01,0.82
82.13,0.82
06.54,0.82
73.31,0.82
55.43,0.82
68.37,0.82
34.03,0.82
53.37,0.81
31.01,0.81
76.29,0.81
31.17,0.81
55.31,0.81
76.31,0.81
87.53,0.81
34.43,0.81
15.31,0.81
44.01,0.8
55.47,0.8
45.31,0.8
27.45,0.8
15.41,0.8
31.19,0.8
65.59,0.79
55.37,0.79
89.25,0.79
81.35,0.79
37.25,0.79
52.47,0.79
61.53,0.79
89.01,0.78
38.61,0.78
61.51,0.78
29.27,0.78
38.49,0.78
47.35,0.78
87.31,0.78
34.39,0.78
53.43,0.78
41.29,0.78
81.33,0.78
06.73,0.78
44.29,0.78
73.47,0.77
73.41,0.77
45.37,0.77
29.05,0.77
53.49,0.77
55.51,0.77
34.15,0.77
29.19,0.77
87.01,0.77
52.45,0.77
82.15,0.76
65.01,0.76
34.31,0.76
61.45,0.76
64.29,0.76
89.57,0.76
37.23,0.75
81.93,0.75
31.23,0.75
55.49,0.74
29.37,0.74
87.33,0.74
31.21,0.74
55.29,0.74
44.41,0.74
49.44,0.74
68.35,0.73
34.27,0.73
27.47,0.73
44.31,0.73
55.42,0.73
39.25,0.73
87.26,0.73
39.19,0.72
31.25,0.72
68.05,0.72
53.31,0.72
06.71,0.72
29.31,0.72
55.19,0.71
30.15,0.71
52.13,0.71
34.41,0.71
65.63,0.7
06.35,0.7
34.29,0.7
15.81,0.7
39.23,0.69
44.09,0.69
34.45,0.69
31.15,0.69
34.19,0.69
47.33,0.69
34.49,0.68
61.49,0.68
68.03,0.68
27.29,0.68
38.33,0.68
87.19,0.68
55.09,0.67
38.63,0.67
87.21,0.67
37.21,0.67
61.57,0.66
06.52,0.66
47.51,0.66
38.37,0.66
30.17,0.65
20.53,0.65
27.43,0.64
87.03,0.64
49.43,0.63
30.19,0.63
41.51,0.63
28.15,0.63
55.22,0.62
41.17,0.62
89.51,0.62
47.49,0.62
70.27,0.61
20.01,0.61
37.15,0.61
55.39,0.6
36.23,0.6
15.21,0.6
55.03,0.6
27.17,0.6
55.63,0.6
52.01,0.6
75.31,0.6
20.23,0.59
61.61,0.59
49.03,0.58
27.25,0.58
87.17,0.58
29.17,0.56
30.51,0.55
53.01,0.52
76.03,0.52
61.13,0.5
62.99,0.5
61.01,0.5
90.27,0.49
47.05,0.49
28.23,0.48
50.05,0.46
53.07,0.45
49.33,0.44
50.09,0.43
50.41,0.41
50.07,0.41
27.35,0.4
87.25,0.38
50.33,0.36
62.01,0.36
61.31,0.36
27.39,0.33
47.09,0.33
50.49,0.32
28.17,0.29
70.25,0.29
28.25,0.2
41.25,0.0
62.37,0.0
06.39,0.0
87.15,0.0
38.55,0.0
53.41,0.0
39.21,0.0
62.61,0.0
55.33,0.0
67.25,0.0
36.29,0.0
89.15,0.0
70.17,0.0
87.51,0.0
