№,Precision
06,0.9
15,0.9
20,0.79
27,0.86
28,0.66
29,0.95
30,0.71
31,0.79
34,0.91
36,0.68
37,0.81
38,0.78
39,0.73
41,0.9
44,0.82
45,0.81
47,0.77
49,0.87
50,0.73
52,0.7
53,0.81
55,0.78
60,0.87
61,0.69
62,0.57
64,0.86
65,0.82
68,0.8
70,0.83
73,0.84
76,0.79
81,0.88
82,0.9
87,0.74
89,0.83
90,0.69
