№,Precision
06,0.93
15,0.91
20,0.8
27,0.87
28,0.69
29,0.97
30,0.8
31,0.83
34,0.93
36,0.78
37,0.86
38,0.89
39,0.81
41,0.93
44,0.86
45,0.85
47,0.78
49,0.88
50,0.78
52,0.79
53,0.84
55,0.84
60,0.87
61,0.76
62,0.77
64,0.88
65,0.81
68,0.84
70,0.89
73,0.88
76,0.9
81,0.91
82,0.93
87,0.8
89,0.9
90,0.68
