№,F1
06,0.88
15,0.92
20,0.82
27,0.83
28,0.65
29,0.92
30,0.71
31,0.81
34,0.91
36,0.67
37,0.77
38,0.76
39,0.63
41,0.91
44,0.85
45,0.84
47,0.77
49,0.89
50,0.65
52,0.64
53,0.77
55,0.78
60,0.88
61,0.67
62,0.47
64,0.89
65,0.86
68,0.81
70,0.87
73,0.81
76,0.76
81,0.86
82,0.94
87,0.74
89,0.85
90,0.67
