№,Recall
06,0.84
15,0.92
20,0.82
27,0.79
28,0.52
29,0.83
30,0.54
31,0.78
34,0.86
36,0.35
37,0.59
38,0.55
39,0.19
41,0.78
44,0.85
45,0.81
47,0.68
49,0.86
50,0.51
52,0.36
53,0.59
55,0.66
60,0.89
61,0.46
62,0.17
64,0.91
65,0.89
68,0.73
70,0.8
73,0.72
76,0.55
81,0.77
82,0.98
87,0.46
89,0.61
90,0.6
