№,Recall
06,0.86
15,0.94
20,0.85
27,0.8
28,0.65
29,0.89
30,0.72
31,0.84
34,0.91
36,0.67
37,0.73
38,0.74
39,0.55
41,0.93
44,0.88
45,0.86
47,0.77
49,0.91
50,0.6
52,0.59
53,0.73
55,0.77
60,0.9
61,0.66
62,0.4
64,0.92
65,0.9
68,0.82
70,0.92
73,0.79
76,0.73
81,0.83
82,0.99
87,0.73
89,0.88
90,0.65
