№,F1
06,0.86
15,0.9
20,0.77
27,0.81
28,0.59
29,0.89
30,0.65
31,0.77
34,0.89
36,0.64
37,0.71
38,0.74
39,0.58
41,0.9
44,0.8
45,0.79
47,0.66
49,0.84
50,0.48
52,0.62
53,0.71
55,0.73
60,0.85
61,0.6
62,0.33
64,0.86
65,0.84
68,0.77
70,0.86
73,0.79
76,0.72
81,0.81
82,0.92
87,0.69
89,0.81
90,0.59
